trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
201,False,"{'a': 0.49799999999999967, 'e': 3.3300032936387256e-05}",25,15,15.588790891625194,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.49599999999999966, 'e': 3.163503128956789e-05}",20,12,15.516753609169086,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.49399999999999966, 'e': 3.0053279725089498e-05}",20,12,10.001579866542855,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.49199999999999966, 'e': 2.8550615738835024e-05}",20,6,20.01499107508049,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.48999999999999966, 'e': 2.712308495189327e-05}",30,16,26.98420730723638,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.48799999999999966, 'e': 2.5766930704298606e-05}",20,14,12.515368135233333,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.48599999999999965, 'e': 2.4478584169083673e-05}",25,8,29.09336005652769,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.48399999999999965, 'e': 2.3254654960629488e-05}",25,17,12.990027128612724,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.48199999999999965, 'e': 2.2091922212598014e-05}",20,3,28.70374238728065,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.47999999999999965, 'e': 2.0987326101968112e-05}",30,18,19.139892361460753,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.47799999999999965, 'e': 1.9937959796869707e-05}",20,10,18.477503047301276,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.47599999999999965, 'e': 1.894106180702622e-05}",20,10,17.23976340848856,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.47399999999999964, 'e': 1.7994008716674908e-05}",25,13,20.696450571693372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.47199999999999964, 'e': 1.709430828084116e-05}",25,18,14.757626703875827,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.46999999999999964, 'e': 1.6239592866799102e-05}",25,14,17.681569533326936,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.46799999999999964, 'e': 1.5427613223459147e-05}",20,10,15.272990260870758,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.46599999999999964, 'e': 1.465623256228619e-05}",20,0,35.09502941998686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
218,False,"{'a': 0.46399999999999963, 'e': 1.392342093417188e-05}",30,11,31.513416074732223,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.46199999999999963, 'e': 1.3227249887463283e-05}",25,14,21.556664245034987,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.45999999999999963, 'e': 1.2565887393090119e-05}",30,20,17.490738032750492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.45799999999999963, 'e': 1.1937593023435613e-05}",20,0,34.875633178765256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.45599999999999963, 'e': 1.1340713372263832e-05}",20,12,14.8884941387965,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.4539999999999996, 'e': 1.0773677703650639e-05}",20,10,18.34166694747364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.4519999999999996, 'e': 1.0234993818468106e-05}",20,8,24.120865171189976,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.4499999999999996, 'e': 9.7232441275447e-06}",20,3,23.938778613022553,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.4479999999999996, 'e': 9.237081921167466e-06}",25,13,25.107074037436224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.4459999999999996, 'e': 8.775227825109093e-06}",35,19,25.47223667910064,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.4439999999999996, 'e': 8.336466433853638e-06}",20,14,14.07673790509999,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.4419999999999996, 'e': 7.919643112160954e-06}",30,17,25.07775199311079,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.4399999999999996, 'e': 7.5236609565529066e-06}",25,11,23.384914185556475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.4379999999999996, 'e': 7.1474779087252615e-06}",25,8,23.719520465755963,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.4359999999999996, 'e': 6.790104013288998e-06}",20,10,20.472194488309473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.4339999999999996, 'e': 6.450598812624547e-06}",30,15,25.925794073377514,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
