trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
39,True,"{'a': 0, 'e': 0}",20,4,22.282830115335397,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",25,0,31.11693519126997,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0, 'e': 0}",20,0,27.681986441652157,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,True,"{'a': 0, 'e': 0}",20,14,12.632017057829296,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",25,5,33.12495376852574,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",20,5,0.7251084359501085,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",20,15,9.137133727099823,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",20,0,29.17209708637325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0, 'e': 0}",20,12,15.09831000430315,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",25,15,20.271513984034822,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",25,13,24.259723139423322,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",30,21,18.143801415990207,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
